ID,Course ID,Section ,Semester,Sum of Quizzes and Every other Marks,Pass or Fail,,"CO, PO Achievement Analysis",,,,,,,,,,,
1783512,CSE303,2,Summer,56,P,,39.39393939,80,56,36.66666667,N,Y,Y,N,N,Y,Y,N
1768463,CSE303,2,Summer,55,P,,39.39393939,77.14285714,42,36.66666667,N,Y,Y,N,N,Y,Y,N
1797625,CSE303,2,Summer,55,P,,53.93939394,31.42857143,38,36.66666667,Y,N,N,N,Y,N,N,N
1754681,CSE303,2,Summer,75,P,,56.96969697,94.28571429,58,76.66666667,Y,Y,Y,Y,Y,Y,Y,Y
1798883,CSE303,1,Summer,57,P,,35.15151515,34.28571429,38,66.66666667,N,N,N,Y,N,N,N,Y
1769463,CSE303,2,Summer,12,F,,12.12121212,0,0,0,N,N,N,N,N,N,N,N
1766156,CSE303,1,Summer,40,P,,43.63636364,85.71428571,12,0,Y,Y,N,N,Y,Y,N,N
1772947,CSE303,3,Summer,46,P,,55.75757576,77.14285714,30,0,Y,Y,N,N,Y,Y,N,N
1731817,CSE303,2,Summer,85,P,,81.21212121,74.28571429,16,113.3333333,Y,Y,N,Y,Y,Y,N,Y
1752538,CSE303,3,Summer,40,P,,28.48484848,74.28571429,36,0,N,Y,N,N,N,Y,N,N
1731852,CSE303,3,Summer,40,P,,38.78787879,31.42857143,44,0,N,N,Y,N,N,N,Y,N
1766176,CSE303,3,Summer,47,P,,57.57575758,74.28571429,36,0,Y,Y,N,N,Y,Y,N,N
1715578,CSE303,1,Summer,75,P,,40,85.71428571,52,86.66666667,Y,Y,Y,Y,Y,Y,Y,Y
1745484,CSE303,1,Summer,12,F,,11.51515152,0,0,0,N,N,N,N,N,N,N,N
1791753,CSE303,2,Summer,87,P,,74.54545455,74.28571429,30,113.3333333,Y,Y,N,Y,Y,Y,N,Y
1742892,CSE303,3,Summer,40,P,,7.272727273,22.85714286,4,76.66666667,N,N,N,Y,N,N,N,Y
1788337,CSE303,1,Summer,75,P,,68.48484848,37.14285714,40,76.66666667,Y,N,Y,Y,Y,N,Y,Y
1736425,CSE303,3,Summer,65,P,,75.75757576,37.14285714,54,30,Y,N,Y,N,Y,N,Y,N
1728439,CSE303,1,Summer,66,P,,51.51515152,34.28571429,40,73.33333333,Y,N,Y,Y,Y,N,Y,Y
1712983,CSE303,2,Summer,75,P,,60.60606061,28.57142857,60,76.66666667,Y,N,Y,Y,Y,N,Y,Y
1718437,CSE303,3,Summer,71,P,,67.87878788,60,42,63.33333333,Y,Y,Y,Y,Y,Y,Y,Y
1784847,CSE303,2,Summer,91,P,,81.81818182,31.42857143,54,113.3333333,Y,N,Y,Y,Y,N,Y,Y
1737824,CSE303,3,Summer,62,P,,53.93939394,100,12,63.33333333,Y,Y,N,Y,Y,Y,N,Y
1797789,CSE303,3,Summer,40,P,,21.21212121,34.28571429,24,30,N,N,N,N,N,N,N,N
1728139,CSE303,3,Summer,40,P,,24.24242424,20,28,30,N,N,N,N,N,N,N,N
1711619,CSE303,1,Summer,70,P,,55.75757576,31.42857143,22,90,Y,N,N,Y,Y,N,N,Y
1789481,CSE303,2,Summer,90,P,,84.84848485,28.57142857,42,113.3333333,Y,N,Y,Y,Y,N,Y,Y
1711729,CSE303,1,Summer,25,F,,15.15151515,37.14285714,12,0,N,N,N,N,N,N,N,N
1773384,CSE303,2,Summer,65,P,,40,31.42857143,36,83.33333333,Y,N,N,Y,Y,N,N,Y
1762565,CSE303,2,Summer,71,P,,45.45454545,31.42857143,34,103.3333333,Y,N,N,Y,Y,N,N,Y
1898334,CSE303,3,Summer,60,P,,34.54545455,31.42857143,52,63.33333333,N,N,Y,Y,N,N,Y,Y
1892367,CSE303,1,Summer,77,P,,40,82.85714286,68,96.66666667,Y,Y,Y,Y,Y,Y,Y,Y
1863951,CSE303,3,Summer,70,P,,66.06060606,100,18,66.66666667,Y,Y,N,Y,Y,Y,N,Y
1835298,CSE303,3,Summer,65,P,,61.21212121,100,10,56.66666667,Y,Y,N,Y,Y,Y,N,Y
1835874,CSE303,2,Summer,75,P,,49.09090909,31.42857143,38,103.3333333,Y,N,N,Y,Y,N,N,Y
1849651,CSE303,3,Summer,50,P,,45.45454545,68.57142857,18,40,Y,Y,N,Y,Y,Y,N,Y
1872128,CSE303,1,Summer,71,P,,36.96969697,88.57142857,48,90,N,Y,Y,Y,N,Y,Y,Y
1887973,CSE303,3,Summer,62,P,,49.09090909,28.57142857,30,80,Y,N,N,Y,Y,N,N,Y
1886577,CSE303,2,Summer,80,P,,53.33333333,68.57142857,44,100,Y,Y,Y,Y,Y,Y,Y,Y
1877262,CSE303,3,Summer,76,P,,72.12121212,94.28571429,18,80,Y,Y,N,Y,Y,Y,N,Y
1873255,CSE303,3,Summer,75,P,,71.51515152,91.42857143,14,80,Y,Y,N,Y,Y,Y,N,Y
1834433,CSE303,2,Summer,90,P,,84.84848485,74.28571429,50,103.3333333,Y,Y,Y,Y,Y,Y,Y,Y
1868128,CSE303,1,Summer,81,P,,63.03030303,74.28571429,54,90,Y,Y,Y,Y,Y,Y,Y,Y
1845457,CSE303,1,Summer,12,F,,12.12121212,0,0,0,N,N,N,N,N,N,N,N
1855787,CSE303,2,Summer,66,P,,50.3030303,68.57142857,30,76.66666667,Y,Y,N,Y,Y,Y,N,Y
1893863,CSE303,2,Summer,14,F,,12.12121212,17.14285714,0,0,N,N,N,N,N,N,N,N
1842333,CSE303,2,Summer,65,P,,40.60606061,71.42857143,30,83.33333333,Y,Y,N,Y,Y,Y,N,Y
