ID,Course ID,Section ,Semester,Midterm,,,,,,Midterm Total,Midterm Total Converted,Final ,,,,Final Total,Final Total Converted,Project Work,Project Work Total,Total,,CO Total,,,
1778274,CSE303,1,Summer,0,7,15,14,6,4,46,9.2,9,5,9,22,45,18,27,27,65,10.8,46,23,22,27
1795656,CSE303,1,Summer,10,3,20,19,4,5,61,12.2,9,10,10,19,48,19.2,25,25,65,8.6,61,29,19,25
1773277,CSE303,2,Summer,17,0,22,18,0,0,57,11.4,14,13,13,18,58,23.2,23,23,66,8.4,66,31,18,23
1759787,CSE303,2,Summer,13,0,20,0,5,10,48,9.6,,,,0,0,0,0,0,18,8.4,48,0,0,0
1743714,CSE303,2,Summer,8,0,20,0,3,2,33,6.6,16,,11,12,39,15.6,11,11,42,8.8,49,11,12,11
1747457,CSE303,1,Summer,0,0,0,0,13,1,14,2.8,13,11,12,19,55,22,27,27,60,8.2,38,12,19,27
1728125,CSE303,2,Summer,15,0,24,16,0,18,73,14.6,18,,8,20,46,18.4,11,11,52,8,75,24,20,11
1783512,CSE303,2,Summer,10,0,22,16,0,13,61,12.2,10,10,12,28,60,24,11,11,56,8.8,65,28,28,11
1768463,CSE303,2,Summer,10,0,20,16,0,11,57,11.4,14,10,11,21,56,22.4,11,11,55,10.2,65,27,21,11
1797625,CSE303,2,Summer,15,0,22,0,14,14,65,13,14,10,11,19,54,21.6,11,11,55,9.4,89,11,19,11
1754681,CSE303,2,Summer,18,15,27,18,5,19,102,20.4,10,,15,29,54,21.6,23,23,75,10,94,33,29,23
1798883,CSE303,1,Summer,5,0,15,0,3,10,33,6.6,14,11,12,19,56,22.4,20,20,57,8,58,12,19,20
1769463,CSE303,2,Summer,20,0,0,0,0,0,20,4,,,,0,0,0,0,0,12,8,20,0,0,0
1766156,CSE303,1,Summer,14,0,20,20,18,0,72,14.4,12,8,10,6,36,14.4,0,0,40,11.2,72,30,6,0
1772947,CSE303,3,Summer,15,0,27,16,5,19,82,16.4,14,12,11,15,52,20.8,0,0,46,8.8,92,27,15,0
1731817,CSE303,2,Summer,22,18,22,16,27,16,121,24.2,18,11,10,8,47,18.8,34,34,85,8,134,26,8,34
1752538,CSE303,3,Summer,0,20,0,15,0,0,35,7,14,13,11,18,56,22.4,0,0,40,10.6,47,26,18,0
1731852,CSE303,3,Summer,0,20,0,0,0,17,37,7.4,14,13,11,22,60,24,0,0,40,8.6,64,11,22,0
1766176,CSE303,3,Summer,10,22,18,16,10,8,84,16.8,14,13,10,18,55,22,0,0,47,8.2,95,26,18,0
1715578,CSE303,1,Summer,0,10,10,18,10,5,53,10.6,19,12,12,26,69,27.6,26,26,75,10.8,66,30,26,26
1745484,CSE303,1,Summer,0,7,0,0,3,9,19,3.8,,,,0,0,0,0,0,12,8.2,19,0,0,0
1791753,CSE303,2,Summer,20,18,22,15,17,15,107,21.4,18,13,11,15,57,22.8,34,34,87,8.8,123,26,15,34
1742892,CSE303,3,Summer,5,0,5,0,0,0,10,2,,2,8,2,12,4.8,23,23,40,10.2,12,8,2,23
1788337,CSE303,1,Summer,18,18,24,0,8,17,85,17,15,13,13,20,61,24.4,23,23,75,10.6,113,13,20,23
1736425,CSE303,3,Summer,17,20,22,0,20,19,98,19.6,14,13,13,27,67,26.8,9,9,65,9.6,125,13,27,9
1728439,CSE303,1,Summer,0,0,24,0,20,14,58,11.6,14,13,12,20,59,23.6,22,22,66,8.8,85,12,20,22
1712983,CSE303,2,Summer,8,10,22,0,20,13,73,14.6,17,10,10,30,67,26.8,23,23,75,10.6,100,10,30,23
1718437,CSE303,3,Summer,18,0,22,12,20,20,92,18.4,19,13,9,21,62,24.8,19,19,71,8.8,112,21,21,19
1784847,CSE303,2,Summer,23,15,20,0,28,19,105,21,17,13,11,27,68,27.2,34,34,91,8.8,135,11,27,34
1737824,CSE303,3,Summer,15,20,22,20,0,10,87,17.4,9,13,15,6,43,17.2,19,19,62,8.4,89,35,6,19
1797789,CSE303,3,Summer,0,0,15,0,0,8,23,4.6,,12,12,12,36,14.4,9,9,40,12,35,12,12,9
1728139,CSE303,3,Summer,5,0,10,0,0,15,30,6,,10,7,14,31,12.4,9,9,40,12.6,40,7,14,9
1711619,CSE303,1,Summer,5,5,22,0,14,18,64,12.8,16,12,11,11,50,20,27,27,70,10.2,92,11,11,27
1789481,CSE303,2,Summer,22,19,24,0,27,17,109,21.8,19,12,10,21,62,24.8,34,34,90,9.4,140,10,21,34
1711729,CSE303,1,Summer,0,0,0,0,0,6,6,1.2,8,11,13,6,38,15.2,0,0,25,8.6,25,13,6,0
1773384,CSE303,2,Summer,15,0,20,0,0,9,44,8.8,14,8,11,18,51,20.4,25,25,65,10.8,66,11,18,25
1762565,CSE303,2,Summer,6,22,0,0,15,4,47,9.4,18,10,11,17,56,22.4,31,31,71,8.2,75,11,17,31
1898334,CSE303,3,Summer,10,18,0,0,1,6,35,7,9,13,11,26,59,23.6,19,19,60,10.4,57,11,26,19
1892367,CSE303,1,Summer,0,0,24,16,12,7,59,11.8,10,13,13,34,70,28,29,29,77,8.2,66,29,34,29
1863951,CSE303,3,Summer,10,20,15,20,17,16,98,19.6,18,13,15,9,55,22,20,20,70,8.4,109,35,9,20
1835298,CSE303,3,Summer,4,18,20,20,16,17,95,19,14,12,15,5,46,18.4,17,17,65,10.6,101,35,5,17
1835874,CSE303,2,Summer,18,25,10,0,0,0,53,10.6,18,10,11,19,58,23.2,31,31,75,10.2,81,11,19,31
1849651,CSE303,3,Summer,15,12,22,13,0,8,70,14,10,8,11,9,38,15.2,12,12,50,8.8,75,24,9,12
1872128,CSE303,1,Summer,0,0,22,16,10,6,54,10.8,10,13,15,24,62,24.8,27,27,71,8.4,61,31,24,27
1887973,CSE303,3,Summer,19,15,0,0,10,18,62,12.4,14,5,10,15,44,17.6,24,24,62,8,81,10,15,24
1886577,CSE303,2,Summer,17,7,20,10,7,18,79,15.8,14,5,14,22,55,22,30,30,80,12.2,88,24,22,30
1877262,CSE303,3,Summer,18,2,22,18,28,18,106,21.2,18,13,15,9,55,22,24,24,76,8.8,119,33,9,24
1873255,CSE303,3,Summer,18,0,22,19,28,19,106,21.2,18,13,13,7,51,20.4,24,24,75,9.4,118,32,7,24
1834433,CSE303,2,Summer,22,20,27,18,22,19,128,25.6,18,12,8,25,63,25.2,31,31,90,8.2,140,26,25,31
1868128,CSE303,1,Summer,15,15,24,15,4,15,88,17.6,18,13,11,27,69,27.6,27,27,81,8.8,104,26,27,27
1845457,CSE303,1,Summer,0,0,20,0,0,0,20,4,,,,0,0,0,0,0,12,8,20,0,0,0
1855787,CSE303,2,Summer,20,15,26,10,0,0,71,14.2,9,13,14,15,51,20.4,23,23,66,8.4,83,24,15,23
1893863,CSE303,2,Summer,0,0,20,6,0,0,26,5.2,,,,0,0,0,0,0,14,8.8,20,6,0,0
1842333,CSE303,2,Summer,20,0,15,14,6,0,55,11,14,12,11,15,52,20.8,25,25,65,8.2,67,25,15,25
